{'epoch': 113, 'loss': '0.01243361', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.039, 'AdvAcc': 0.316, 'RAvAcc': 0.036, 'best_acc': 0.041}
{'epoch': 114, 'loss': '0.01178268', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.048, 'AdvAcc': 0.316, 'RAvAcc': 0.039, 'best_acc': 0.041}
{'epoch': 115, 'loss': '0.01426411', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.045, 'AdvAcc': 0.316, 'RAvAcc': 0.041, 'best_acc': 0.041}
{'epoch': 116, 'loss': '0.01272265', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.034, 'AdvAcc': 0.316, 'RAvAcc': 0.034, 'best_acc': 0.041}
{'epoch': 117, 'loss': '0.01136833', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.05, 'AdvAcc': 0.316, 'RAvAcc': 0.05, 'best_acc': 0.05}
{'epoch': 118, 'loss': '0.01152897', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.036, 'AdvAcc': 0.316, 'RAvAcc': 0.036, 'best_acc': 0.05}
{'epoch': 119, 'loss': '0.02114849', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.05}
{'epoch': 120, 'loss': '0.01845920', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.034, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.05}
{'epoch': 121, 'loss': '0.01303374', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.05}
{'epoch': 122, 'loss': '0.01229472', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.316, 'RAvAcc': 0.016, 'best_acc': 0.05}
{'epoch': 123, 'loss': '0.01261131', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.05}
{'epoch': 124, 'loss': '0.01206096', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.039, 'best_acc': 0.05}
