{'epoch': 51, 'loss': '0.18350391', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.847, 'AdvAcc': 0.516, 'RAvAcc': 0.847, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.847}
{'epoch': 52, 'loss': '0.19006638', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.846, 'AdvAcc': 0.516, 'RAvAcc': 0.838, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.847}
{'epoch': 53, 'loss': '0.16873389', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.858, 'AdvAcc': 0.516, 'RAvAcc': 0.86, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.86}
{'epoch': 54, 'loss': '0.16322076', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.871, 'AdvAcc': 0.516, 'RAvAcc': 0.867, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.867}
{'epoch': 55, 'loss': '0.16902892', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.87, 'AdvAcc': 0.514, 'RAvAcc': 0.869, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.869}
{'epoch': 56, 'loss': '0.14902484', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.867, 'AdvAcc': 0.517, 'RAvAcc': 0.867, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.869}
{'epoch': 57, 'loss': '0.14092425', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.868, 'AdvAcc': 0.516, 'RAvAcc': 0.865, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.869}
{'epoch': 58, 'loss': '0.13632713', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.875, 'AdvAcc': 0.51, 'RAvAcc': 0.869, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.869}
{'epoch': 59, 'loss': '0.13187103', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.87, 'AdvAcc': 0.518, 'RAvAcc': 0.867, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.869}
{'epoch': 60, 'loss': '0.12676744', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.88, 'AdvAcc': 0.515, 'RAvAcc': 0.875, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.875}
{'epoch': 61, 'loss': '0.12871699', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.882, 'AdvAcc': 0.515, 'RAvAcc': 0.882, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.882}
{'epoch': 62, 'loss': '0.12429414', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.885, 'AdvAcc': 0.509, 'RAvAcc': 0.885, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.885}
{'epoch': 63, 'loss': '0.11699601', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.893, 'AdvAcc': 0.521, 'RAvAcc': 0.886, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.886}
{'epoch': 64, 'loss': '0.11362471', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.902, 'AdvAcc': 0.515, 'RAvAcc': 0.895, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.895}
{'epoch': 65, 'loss': '0.11682691', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.882, 'AdvAcc': 0.518, 'RAvAcc': 0.883, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.895}
{'epoch': 66, 'loss': '0.11800096', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.894, 'AdvAcc': 0.517, 'RAvAcc': 0.892, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.895}
{'epoch': 67, 'loss': '0.10979362', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.892, 'AdvAcc': 0.513, 'RAvAcc': 0.888, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.895}
{'epoch': 68, 'loss': '0.10465970', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.895, 'AdvAcc': 0.516, 'RAvAcc': 0.896, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.896}
{'epoch': 69, 'loss': '0.10044108', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.901, 'AdvAcc': 0.515, 'RAvAcc': 0.901, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.901}
{'epoch': 70, 'loss': '0.10031157', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.906, 'AdvAcc': 0.52, 'RAvAcc': 0.898, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.901}
{'epoch': 71, 'loss': '0.09759865', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.908, 'AdvAcc': 0.514, 'RAvAcc': 0.908, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.908}
{'epoch': 72, 'loss': '0.10400388', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.897, 'AdvAcc': 0.51, 'RAvAcc': 0.897, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.908}
{'epoch': 73, 'loss': '0.09718051', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.911, 'AdvAcc': 0.517, 'RAvAcc': 0.911, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.911}
{'epoch': 74, 'loss': '0.09216386', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.908, 'AdvAcc': 0.517, 'RAvAcc': 0.909, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.911}
